"n","K","n_sim","alpha","power_ks","power_sw","power_da","mean_skew","mean_kurt","mean_excess_kurt","mean_Z1","mean_Z2"
2,20,5000,0.05,0.1176,0.5324,0.399,0.973666968435451,3.67157080074639,0.671570800746395,1.92085194636625,0.761773301183686
3,20,5000,0.05,0.0966,0.3744,0.2934,0.79707129280073,3.32584387116268,0.325843871162684,1.6071989595805,0.496035363459501
5,20,5000,0.05,0.0808,0.2444,0.223,0.632263623525514,3.11280128804417,0.112801288044167,1.29526637164838,0.341714768275751
10,20,5000,0.05,0.0562,0.141,0.1396,0.44689962311913,2.91106590413499,-0.0889340958650144,0.928781229544665,0.169842558005675
20,20,5000,0.05,0.0504,0.0974,0.1032,0.331236696687965,2.83167629945866,-0.168323700541344,0.694127716200876,0.102733975642198
30,20,5000,0.05,0.055,0.0774,0.0874,0.250879900798294,2.79224474291492,-0.207755257085082,0.526405854111744,0.0751790991151971
50,20,5000,0.05,0.054,0.066,0.0766,0.201398704074864,2.76618588442617,-0.233814115573828,0.424234100389872,0.0471446425472405
100,20,5000,0.05,0.0568,0.0622,0.072,0.152522523451469,2.75088309237909,-0.249116907620913,0.320866425189105,0.0437286174339097
200,20,5000,0.05,0.0542,0.0606,0.0678,0.0987274623030208,2.73510008049664,-0.26489991950336,0.207684197413805,0.0177725985267558
2,50,5000,0.05,0.236,0.9504,0.7988,1.18630130511341,4.60066761535926,1.60066761535926,3.12783401924769,1.57921661956316
3,50,5000,0.05,0.1766,0.8276,0.658,0.992741103084124,4.10256083472529,1.10256083472529,2.71136572104672,1.19572485347523
5,50,5000,0.05,0.1318,0.5982,0.4762,0.776361062338903,3.64335295664799,0.64335295664799,2.20279573183393,0.795362194803098
10,50,5000,0.05,0.0848,0.3306,0.2896,0.550145190235113,3.25877591131337,0.258775911313372,1.61628564645838,0.419474679312232
20,50,5000,0.05,0.0682,0.1896,0.1882,0.391343326241267,3.08153028936279,0.0815302893627885,1.17250775508531,0.228008052792928
30,50,5000,0.05,0.0556,0.137,0.1458,0.319616196039067,3.01250277431775,0.0125027743177458,0.96331631115076,0.141655687036966
50,50,5000,0.05,0.0554,0.099,0.1096,0.239272779936976,2.96759219862556,-0.0324078013744385,0.726369913296893,0.112537760540115
100,50,5000,0.05,0.0574,0.082,0.0872,0.174820500141957,2.93969905300605,-0.0603009469939464,0.532077107383315,0.0653291403399101
200,50,5000,0.05,0.046,0.0602,0.0692,0.121282591673503,2.89455304274477,-0.105446957255232,0.370421320803328,0.0103275774461897
2,100,5000,0.05,0.4354,0.9992,0.9924,1.29484760074006,5.20665110927826,2.20665110927826,4.44115798404968,2.46940525976018
3,100,5000,0.05,0.2982,0.9896,0.9484,1.05527598771205,4.44420431734261,1.44420431734261,3.81105402587331,1.84820261629039
5,100,5000,0.05,0.1928,0.9078,0.8006,0.830313221337028,3.88399913799997,0.883999137999966,3.14821061252776,1.29845245911482
10,100,5000,0.05,0.1172,0.6058,0.5158,0.590538515155616,3.41518047344305,0.415180473443046,2.34167645671207,0.716902827581816
20,100,5000,0.05,0.0852,0.3432,0.3058,0.413896921658333,3.16443900209611,0.164439002096105,1.68873608401793,0.354562177817077
30,100,5000,0.05,0.0674,0.2296,0.2138,0.329334686537012,3.08452534331026,0.084525343310258,1.35740250790474,0.233789996815357
50,100,5000,0.05,0.057,0.1678,0.1676,0.267354463726094,3.03707191621607,0.0370719162160717,1.1105626928353,0.157436186557884
100,100,5000,0.05,0.0522,0.1042,0.1052,0.182966290576702,2.98168427421189,-0.018315725788105,0.76428279163679,0.0624779413018045
200,100,5000,0.05,0.0526,0.0734,0.0762,0.127383982366534,2.96138574271393,-0.038614257286067,0.53431191100019,0.0370826522164343
